---|ARABIC|---	^-
🇵🇪 Willax	00!0!1/287710
🇵🇪 Latina TV SD	00!0!1/287711
🇵🇪 Latina TV HD	00!0!1/287712
🇵🇪 MOVISTAR DEPORTES	00!0!1/287713
🇵🇪 MOVISTAR DEPORTES	00!0!1/287714
🇵🇪 PLUS TV FHD	00!0!1/287715
🇵🇪 PANAMERICANA	00!0!1/287716
🇵🇪 CANAL N HD	00!0!1/287718
🇵🇪 EXITOSA TV	00!0!1/287719
🇵🇪 Gol Peru SD	00!0!1/287721
🇵🇪 Movistar Deportes FHD	00!0!1/287722
🇵🇪 Movistar Plus	00!0!1/287723
🇵🇪 Antares TV	00!0!1/287726
🇵🇪 America TV FHD	00!0!1/287728
🇵🇪 Frecuencia LATINA TV (E)	00!0!1/287729
🇵🇪 PANAMERICANA (E)	00!0!1/287730
🇵🇪 ATV PLUS HD (E)	00!0!1/287731
🇵🇪 CANAL N HD (E)	00!0!1/287732
🇵🇪 RPP HD (E)	00!0!1/287733
🇵🇪 EXITOSA HD (E)	00!0!1/287734
🇵🇪 TV PERU HD (E)	00!0!1/287735
🇵🇪 GOLPERU HD (E)	00!0!1/287736
🇵🇪 M. DEPORTES HD (E)	00!0!1/287737
🇵🇪 TV PERU SD (E)	00!0!1/287739
🇵🇪 MONTERRICO TV	00!0!1/287740
🇵🇪 OD TV	00!0!1/287745
🇵🇪 NUEVOMUNDO	00!0!1/287747
🇵🇪 GOLPERU HD	00!0!1/287750
🇵🇪 FUEGO TV	00!0!1/287752
🇵🇪 LATINA FHD P	00!0!1/287754
🇵🇪 WILLAX HD P	00!0!1/287755
🇵🇪 GOL PERU FHD P	00!0!1/287756
🇵🇪 WillaX SD	00!0!1/287757
🇵🇪 VISION TV	00!0!1/287766
🇵🇪 TV Perú Internacional	00!0!1/287767
🇵🇪 Quatro Televisión	00!0!1/287771
🇵🇪 Conecta2 tv	00!0!1/287774
🇵🇪 Via Television Tarapoto	00!0!1/287776
🇵🇪 URANIO TV YURIMAGUAS	00!0!1/287778
🇵🇪 OVACION TV	00!0!1/287785
🇵🇪 JN 19	00!0!1/287788
🇵🇪 GENIOS	00!0!1/287789
🇵🇪 DMJ	00!0!1/287790
🇵🇪 CR TV	00!0!1/287791
🇵🇪 CONTROVERSIA TV	00!0!1/287792
🇵🇪 CANAL 8 CATACAS	00!0!1/287793
🇵🇪 AUTENTICA TV	00!0!1/287794
🇵🇪 PERU VISUAL	00!0!1/287795
LIGA 1 MAX FHD (M)	00!0!1/287801
LIGA 1 MAX HD (M)	00!0!1/287802
LIGA 1 MAX SD(M)	00!0!1/287807
🇵🇪 LIGA 1 FHD (M)	00!0!1/287808
🇵🇪 LIGA 1 HD (M)	00!0!1/287811
🇦🇷 TYC SPORTS HD	00!0!1/287833
TYC SPORTS HD	00!0!1/287834
🇦🇷 TNT SPORTS HD	00!0!1/287835
🇦🇷 DEPORTV HD	00!0!1/287836
🇦🇷 A24 FHD	00!0!1/287837
🇦🇷 QUIERO MUSICA	00!0!1/287838
🇦🇷 METRO	00!0!1/287839
🇦🇷 DEPORTV	00!0!1/287842
🇦🇷 ORBE 21	00!0!1/287843
🇦🇷 ARGENTINISIMA	00!0!1/287844
🇦🇷 AMERICA HD	00!0!1/287845
🇦🇷 TELEFE HD	00!0!1/287846
🇦🇷 CANAL 13 OPC 2	00!0!1/287847
🇦🇷 13 Max HD	00!0!1/287848
🇦🇷 5RTV Santa Fe HD	00!0!1/287849
🇦🇷 9 MULTIVISION HD	00!0!1/287850
🇦🇷 Canal 26 HD	00!0!1/287851
🇦🇷 Garage TV	00!0!1/287853
🇦🇷 LA 90 FM	00!0!1/287854
🇦🇷 TeleNord Corrientes	00!0!1/287856
🇦🇷 AMERICA FHD	00!0!1/287857
🇦🇷 TV Publica HD	00!0!1/287858
🇦🇷 TV Publica HD	00!0!1/287859
🇦🇷 TV Publica	00!0!1/287860
🇦🇷 TV Publica	00!0!1/287861
🇦🇷 CRONICA	00!0!1/287862
🇦🇷 VOLVER	00!0!1/287863
🇦🇷 CANAL 9 HD	00!0!1/287864
🇦🇷 CIUDAD MAGAZINE HD	00!0!1/287865
🇦🇷 TYC SPORTS INTERNACIONAL	00!0!1/287866
🇦🇷 ESPN PREMIUM	00!0!1/287867
🇦🇷 ESPN PREMIUM HD	00!0!1/287868
🇦🇷 CANAL 13	00!0!1/287869
🇦🇷 TELEFE HD OPC 2	00!0!1/287870
🇦🇷 TELEFE HD OPC 3	00!0!1/287871
🇦🇷 TYC SPORTS HD	00!0!1/287872
TYC SPORTS HD	00!0!1/287873
🇦🇷 TNT SPORTS HD OPC 2	00!0!1/287874
🇦🇷 TNT SPORTS HD OPC 3	00!0!1/287875
🇦🇷 A24 HD	00!0!1/287876
🇦🇷 Canal 9 HD - OPC 2	00!0!1/287877
🇦🇷 Canal 9 Multivision	00!0!1/287878
🇦🇷 ESPN DEPORTES HD	00!0!1/287880
🇦🇷 LS: TYC SPORTS HD	00!0!1/287881
🇦🇷 LS: TYC SPORTS FHD	00!0!1/287882
🇦🇷 LS: TYC SPORTS OPC 2	00!0!1/287883
🇦🇷 LS: TYC SPORTS INTERNACIONAL	00!0!1/287884
🇦🇷 LS: ESPN PREMIUM HD	00!0!1/287885
🇦🇷 LS: ESPN PREMIUM	00!0!1/287886
🇦🇷 TELEFE HD OPC 4	00!0!1/287890
🇦🇷 AMERICA FHD EXCLUSIVO	00!0!1/287891
🇦🇷 RTN Neuquén	00!0!1/287892
🇦🇷 Canal 4 Jujuy	00!0!1/287893
Caracol FHD opc 3	00!0!1/288763
WIN SPORTS + HD Copa America/Eurocopa	00!0!1/288765
ESPN SUR Copa America/Eurocopa	00!0!1/288770
ESPN ESP	00!0!1/288771
TUDN Copa America/Eurocopa	00!0!1/288775
DIRECTV SPORTS Copa America/Eurocopa	00!0!1/288954
RD: TELEANTILLAS CANAL 2	00!0!1/290258
RD: COLOR VISION HD	00!0!1/290259
RD: CINEVISION 19	00!0!1/290260
RD: TELECENTRO	00!0!1/290261
RD: RNN 27	00!0!1/290262
RD: TELESISTEMA CANAL 11	00!0!1/290263
RD: TELEUNION	00!0!1/290264
RD: SUPER TV 55	00!0!1/290265
RD: ONDA TV	00!0!1/290266
RD: YUNA VISION	00!0!1/290267
RD: MAIMON TV 3	00!0!1/290268
RD: MEGA VISION	00!0!1/290270
RD: Peravia Vision	00!0!1/290271
RD: CERTV	00!0!1/290272
RD: ANTENA LATINA HD	00!0!1/290273
RD: COLOR VISION FHD	00!0!1/290274
RD: COLOR VISION	00!0!1/290275
RD: DIGITAL 15	00!0!1/290276
RD: GH TELEVISON CANAL 10	00!0!1/290278
RD: ORBIT TV	00!0!1/290279
RD: LUNA TV	00!0!1/290281
RD: TELEFUTURO CANAL 23	00!0!1/290282
RD: TELENORD 10	00!0!1/290283
RD: TELESISTEMA HD	00!0!1/290284
RD: Super Canal 33 HD	00!0!1/290285
RD: TELEMICRO	00!0!1/290286
RD: TELEMICRO INTER HD	00!0!1/290287
RD: CDN2	00!0!1/290288
RD: AME 47	00!0!1/290289
RD: +TELEVISiON DOMINICANA +	00!0!1/290290
RD: MICROVISION	00!0!1/290291
RD: TELEUNIVERSO 29	00!0!1/290292
RD: ZOL FM TV	00!0!1/290293
RD: ZTV	00!0!1/290294
RD: LA VOZ DE MARIA	00!0!1/290295
RD: LA VOZ DE MARIA	00!0!1/290296
RD: CIELO TV	00!0!1/290297
RD: MIAVISION	00!0!1/290298
RD: La Ruta TV	00!0!1/290299
RD: CANAL 25 SANTIAGO	00!0!1/290300
RD: TV PLATA	00!0!1/290301
RD: canal 75	00!0!1/290302
🇨🇱 CNN Chile	00!0!1/290403
🇨🇱 TNT SPORTS PREMIUM HD	00!0!1/290405
🇨🇱 Chilevision HD	00!0!1/290407
🇨🇱 Chilevision FHD	00!0!1/290409
🇨🇱 Canal 13 SD	00!0!1/290412
🇨🇱 Teletrak chile	00!0!1/290417
🇨🇱 TNT SPORTS BASICO HD	00!0!1/290418
🇨🇱 CANAL 13 HD	00!0!1/290420
🇨🇱 CANAL 13 FHD	00!0!1/290423
🇨🇱 TVU Concepcion	00!0!1/290425
🇨🇱 TVN SD	00!0!1/290426
🇨🇱 REC TV	00!0!1/290427
🇨🇱 TV+	00!0!1/290428
🇨🇱 CDO PREMIUM	00!0!1/290429
🇨🇱 CDO BASICO	00!0!1/290430
🇨🇱 ETC TV CHILE	00!0!1/290431
🇨🇱 La Red HD	00!0!1/290432
🇨🇱 TNT SPORTS 2	00!0!1/290433
🇨🇱 TNT SPORTS ESTADIO	00!0!1/290436
🇨🇱 LS: TNT SPORTS PREMIUM HD OPC 1	00!0!1/290437
🇨🇱 LaRed Ch	00!0!1/290438
🇨🇱 ESPN 2 FHD	00!0!1/290439
🇨🇱 DIRECTV SPORTS 1 HD	00!0!1/290441
🇨🇱 DIRECTV SPORTS 1 FHD	00!0!1/290443
🇨🇱 DIRECTV SPORTS 1 FHD	00!0!1/290444
🇨🇱 DIRECTV SPORTS 1 SD	00!0!1/290445
🇨🇱 LA RED EXCLUSIVO	00!0!1/290446
🇭🇳 Telesistema SD	00!0!1/290503
🇭🇳 Teleceiba SD	00!0!1/290504
🇭🇳 Telecadena HD	00!0!1/290505
🇭🇳 CANAL 5 HD	00!0!1/290507
🇭🇳 CANAL 6 HD	00!0!1/290508
🇭🇳 TELEPROGRESO	00!0!1/290511
🇭🇳 TDTV	00!0!1/290515
🇭🇳 Canal 11 HD	00!0!1/290516
🇭🇳 Canal 5	00!0!1/290517
🇭🇳 HCH	00!0!1/290518
🇭🇳 Suyapa	00!0!1/290520
🇭🇳 TeleCadena SD	00!0!1/290521
🇭🇳 Teleceiba	00!0!1/290522
🇭🇳 TeleSistema	00!0!1/290523
🇭🇳 VTV Honduras	00!0!1/290525
🇭🇳 HCH OPC 2	00!0!1/290527
🇭🇳 Campus tv	00!0!1/290528
🇭🇳 Lenca TV	00!0!1/290529
🇭🇳 EBENEZER	00!0!1/290530
🇭🇳 TODO DEPORTE	00!0!1/290531
🇭🇳 Globo TV	00!0!1/290534
🇭🇳 TVC DEPORTES	00!0!1/290535
🇨🇷 Canal 14 Tv Sur	00!0!1/290559
🇨🇷 Telered	00!0!1/290561
🇨🇷 Repretel 6	00!0!1/290562
🇨🇷 Repretel 4	00!0!1/290563
🇨🇷 Repretel 11	00!0!1/290564
🇨🇷 Multimedios	00!0!1/290565
🇨🇷 Teletica 7 HD	00!0!1/290567
🇨🇷 Repretel 11 HD	00!0!1/290568
🇨🇷 Repretel 6 HD OPC 2	00!0!1/290569
🇨🇷 Extrema TV	00!0!1/290570
🇨🇷 Trivision 36	00!0!1/290571
🇨🇷 TeleSur	00!0!1/290572
🇨🇷 Colosal	00!0!1/290573
🇨🇷 Limon tv	00!0!1/290575
🇨🇷 Antena 6	00!0!1/290576
🇨🇷 Sarapiquí TV	00!0!1/290578
🇨🇷 NICOYA TV	00!0!1/290580
🇨🇷 LOS SANTOS TV	00!0!1/290581
🇨🇷 SAN VITO TV	00!0!1/290583
🇨🇷 Canal 88 Stereo	00!0!1/290585
🇨🇷 FUTV	00!0!1/290587
🇨🇷 SAN JOSE TV	00!0!1/290588
🇨🇷 Norte Informativo	00!0!1/290589
🇨🇷 Video Tour TV	00!0!1/290590
🇨🇷 Canal 8 HD	00!0!1/290591
🇨🇷 TD+ 1	00!0!1/290594
🇨🇷 Canal 36	00!0!1/290596
🇨🇷 Tigo Sports HD OPC 2	00!0!1/290598
🇨🇷 TVN Canal 14	00!0!1/290599
🇨🇷 Voice Over Radio TV	00!0!1/290600
🇨🇷 VM LATINO Canal 29	00!0!1/290601
🇨🇷 Canal Vintage Music	00!0!1/290602
🇨🇷 Soy Plancha TV	00!0!1/290603
🇨🇷 CRTV	00!0!1/290605
🇨🇷 EWTN	00!0!1/290606
🇨🇷 ABN TV	00!0!1/290608
🇨🇷 Solidaria TV	00!0!1/290609
🇨🇷 KMK TV	00!0!1/290611
🇨🇷 Colosal canal 3	00!0!1/290612
🇨🇷 Urbano 106 FM	00!0!1/290615
🇨🇷 Garabito TV	00!0!1/290616
🇨🇷 RetroX TV	00!0!1/290619
🇨🇷 MEGANETHIS	00!0!1/290621
🇨🇷 MEGASPORT	00!0!1/290622
🇨🇷 SUPER RADIO TV	00!0!1/290623
🇨🇷 TURRIALBA DIGITAL TV	00!0!1/290624
🇨🇷 Luz Naciente Tv	00!0!1/290625
🇨🇷 88 Stereo FM	00!0!1/290626
🇨🇷 CANAL 1	00!0!1/290627
🇨🇷 Sinart Canal 13	00!0!1/290628
🇨🇷 FUTV UHD EXCLUSIVO	00!0!1/290631
🇨🇷 Oldies Hits	00!0!1/290633
🇨🇷 CANAL 10	00!0!1/290635
🇨🇷 TURRIBALBA	00!0!1/290639
🇪🇨 Teleamazonas FHD	00!0!1/290898
🇪🇨 Teleamazonas Sierra	00!0!1/290899
🇪🇨 Ecuavisa Sierra	00!0!1/290900
🇪🇨 DIRECTV SPORTS SD	00!0!1/290901
🇪🇨 DIRECTV SPORTS HD	00!0!1/290904
🇪🇨 DIRECTV SPORTS FHD	00!0!1/290907
🇪🇨 Ecuador TV FHD	00!0!1/290908
🇪🇨 Ecuador TV HD	00!0!1/290909
🇪🇨 Ecuador TV SD	00!0!1/290910
🇪🇨 Ecuavisa FHD	00!0!1/290912
🇪🇨 Ecuavisa HD	00!0!1/290914
🇪🇨 Ecuavisa SD	00!0!1/290916
🇪🇨 Gol TV SD	00!0!1/290918
🇪🇨 RTS FHD	00!0!1/290921
🇪🇨 RTS HD	00!0!1/290922
🇪🇨 RTS SD	00!0!1/290923
🇪🇨 TC Television FHD	00!0!1/290924
🇪🇨 TC Television HD	00!0!1/290925
🇪🇨 TC Television SD	00!0!1/290926
🇪🇨 Teleamazonas	00!0!1/290927
🇪🇨 Teleamazonas HD	00!0!1/290928
🇪🇨 TVC FHD	00!0!1/290929
🇪🇨 Canal Uno SD	00!0!1/290931
🇪🇨 Canela TV SD	00!0!1/290932
🇪🇨 EL CANAL DEL FUTBOL FHD [Events]	00!0!1/290939
🇪🇨 EL CANAL DEL FUTBOL HD [Events]	00!0!1/290941
🇪🇨 EL CANAL DEL FUTBOL SD [Events]	00!0!1/290944
🇪🇨 Gamavision	00!0!1/290945
🇪🇨 LS: GOL TV OPC 3	00!0!1/290946
🇪🇨 LS: EL CANAL DEL FUTBOL HD [Events]	00!0!1/290950
🇪🇨 GOL TV EXCLUSIVO	00!0!1/290952
🇪🇨 GOL TV EXCLUSIVO	00!0!1/290953
🇪🇨 PLANETA TV	00!0!1/290954
🇪🇨 Canal ZARACAY	00!0!1/290955
🇲🇽 AZ CLIC	00!0!1/291039
🇲🇽 AZ CORAZON HD	00!0!1/291040
🇲🇽 AZ MUNDO FHD	00!0!1/291041
🇲🇽 AZTECA 7 FHD	00!0!1/291044
🇲🇽 AZTECA UNO FHD	00!0!1/291045
🇲🇽 AZTECA UNO HD	00!0!1/291046
🇲🇽 CANAL 5 FHD OPC 2	00!0!1/291049
🇲🇽 CANAL 5 FHD	00!0!1/291052
🇲🇽 CANAL 5 FHD	00!0!1/291053
🇲🇽 CANAL NUEVE	00!0!1/291054
🇲🇽 GALAVISION HD	00!0!1/291055
🇲🇽 IMAGEN HD	00!0!1/291056
🇲🇽 LAS ESTRELLAS FHD	00!0!1/291057
🇲🇽 CANAL 4	00!0!1/291058
🇲🇽 CANAL 5	00!0!1/291060
🇲🇽 SAT SD	00!0!1/291062
🇲🇽 INGENIO TV SD	00!0!1/291063
🇲🇽 TELEHIT SD	00!0!1/291064
🇲🇽 UNICABLE FHD	00!0!1/291065
🇲🇽 CANCUN CANAL 10	00!0!1/291066
🇲🇽 BANDAMAX	00!0!1/291067
🇲🇽 Milenio TV HD	00!0!1/291068
🇲🇽 Canal 5	00!0!1/291070
🇲🇽 Canal 5	00!0!1/291071
🇲🇽 Canal 5	00!0!1/291072
🇲🇽 Foro TV	00!0!1/291073
🇲🇽 Once TV	00!0!1/291074
🇲🇽 Hola	00!0!1/291075
🇲🇽 Multimedios Monterrey	00!0!1/291076
🇲🇽 Multimedios Mty	00!0!1/291077
AXN HD Mexico	00!0!1/291078
🇲🇽 AZTECA UNO SD	00!0!1/291079
🇲🇽 Telemax	00!0!1/291080
🇲🇽 TUDN	00!0!1/291081
🇲🇽 Distrito Comedia	00!0!1/291082
🇲🇽 TELEHIT PLUS SD	00!0!1/291083
🇲🇽 Cine Estelar	00!0!1/291084
🇲🇽 TUDN	00!0!1/291085
🇲🇽 TV Mar La Paz	00!0!1/291086
🇲🇽 JUSTICIA TV	00!0!1/291087
🇲🇽TV Pacifico Culiacán	00!0!1/291088
🇲🇽 RCG 2 Televisión	00!0!1/291089
🇲🇽 TV Pacifico Los Mochis	00!0!1/291091
🇲🇽 Tlaxcala Televisión	00!0!1/291093
🇲🇽 TRC Televisión	00!0!1/291096
🇲🇽 Canal 10 Cancún	00!0!1/291097
🇲🇽 Canal 2 TV Pacífico Yaqui Obregón	00!0!1/291098
🇲🇽 Canal 44 Chihuahua	00!0!1/291099
🇲🇽 Mexiquense TV 34.1.	00!0!1/291101
🇲🇽 SIZART Canal 24 Zacatecas	00!0!1/291102
🇲🇽 CANAL VIX LO MEJOR LIGA MX HD	00!0!1/291104
🇭🇹 Radio Tele Ginen Chaine 18	00!0!1/291494
🇵🇹 CANCAO NOVA SD	00!0!1/291497
🇨🇷 ESPERANZA TV OPC 1	00!0!1/291498
🇨🇷 ESPERANZA TV OPC 2	00!0!1/291499
CAR: EWTN SD	00!0!1/291502
CAR: CDM INTERNATIONAL SD	00!0!1/291503
🇺🇸 ESNE	00!0!1/291505
🇺🇸 CBN EN ESPAÑOL	00!0!1/291506
PAN: 3ABN LATINO	00!0!1/291507
🇨🇷 Cristo Visión	00!0!1/291508
ALTERNATIVE	00!0!1/291513
DANCE EDM	00!0!1/291515
HIP HOP & R&B	00!0!1/291516
HIT LIST	00!0!1/291517
MEXICANA	00!0!1/291519
POP & COUNTRY	00!0!1/291521
POP HITS	00!0!1/291522
POP LATINO	00!0!1/291523
RAP	00!0!1/291524
ROCK	00!0!1/291525
TEEN BEATS	00!0!1/291526
TODAYS COUNTRY	00!0!1/291527
90S	00!0!1/291529
THROWBACK JAMS	00!0!1/291530
Y2K	00!0!1/291531
KIDS ONLY	00!0!1/291532
MTV LIVE	00!0!1/291533
MTV U	00!0!1/291534
CONCERT CHANNEL HD	00!0!1/291535
Canal 2 Nicaragua	00!0!1/291536
Canal 4 Nicaragua	00!0!1/291537
Canal 6 Nicaragua	00!0!1/291538
Canal 8 Nicaragua	00!0!1/291539
Canal 9 Nicaragua	00!0!1/291540
Canal 10 Nicaragua	00!0!1/291541
Canal 11 Nicaragua	00!0!1/291542
Canal 12 Nicaragua	00!0!1/291543
Canal 13 Nicaragua	00!0!1/291544
Canal 23 Nicaragua	00!0!1/291547
Directv Sports 2 Copa America/Eurocopa	00!0!1/292108
🇵🇹 INVESTIGATION DISCOVERY UHD	00!0!1/292866
🇵🇹 AXN UHD	00!0!1/292867
🇵🇹 AXN BLACK UHD	00!0!1/292868
🇵🇹 AXN WHITE UHD	00!0!1/292869
🇵🇹 BENFICA TV UHD	00!0!1/292870
🇵🇹 NOS STUDIOS UHD	00!0!1/292871
🇵🇹 CRIME & INVESTIGATION UHD	00!0!1/292872
🇵🇹 FOX CRIME UHD	00!0!1/292873
🇵🇹 FOX TV UHD	00!0!1/292874
🇵🇹 DOG TV UHD	00!0!1/292875
🇵🇹 FIGHT NETWORK UHD	00!0!1/292876
🇵🇹 CANAL 11 UHD	00!0!1/292877
🇵🇹 RTP 2 UHD	00!0!1/292878
🇵🇹 SIC UHD	00!0!1/292879
🇵🇹 SPORT TV 1 UHD	00!0!1/292880
🇵🇹 SPORT TV 1 UHD	00!0!1/292881
🇵🇹 SPORT TV 2 UHD	00!0!1/292882
🇵🇹 SPORT TV 3 FHD	00!0!1/292883
🇵🇹 SPORTING TV UHD	00!0!1/292884
🇵🇹 TVI UHD	00!0!1/292890
🇵🇹 DISNEY JUNIOR SD	00!0!1/292891
🇵🇹 A BOLA TV SD	00!0!1/292892
🇵🇹 NICKELODEON SD	00!0!1/292893
🇵🇹 BABY TV SD	00!0!1/292894
🇵🇹 BLOOMBERG SD	00!0!1/292895
🇵🇹 NICK JR. SD	00!0!1/292896
🇵🇹 CACA E PESCA SD	00!0!1/292897
🇵🇹 CANAL Q SD	00!0!1/292898
🇵🇹 MOTORVISION SD	00!0!1/292899
🇵🇹 MCM POP SD	00!0!1/292901
🇵🇹 CMTV HD	00!0!1/292903
🇵🇹 DISCOVERY CHANNEL SD	00!0!1/292904
🇵🇹 FUEL TV	00!0!1/292905
🇵🇹 SPORTING TV SD	00!0!1/292906
🇵🇹 DISNEY CHANNEL SD	00!0!1/292907
🇵🇹 MEZZO SD	00!0!1/292908
🇵🇹 ELEVEN 1 HD	00!0!1/292909
🇵🇹 ELEVEN 1 HD	00!0!1/292910
🇵🇹 ELEVEN 1 HD	00!0!1/292911
🇵🇹 ELEVEN 2 HD	00!0!1/292912
🇵🇹 ELEVEN 3 HD	00!0!1/292913
🇵🇹 PFC SD	00!0!1/292914
🇵🇹 ELEVEN 4 HD	00!0!1/292915
🇵🇹 E! ENTERTAINMENT SD	00!0!1/292918
🇵🇹 ELEVEN 6 HD	00!0!1/292919
🇵🇹 EUROSPORT HD	00!0!1/292920
🇵🇹 EUROSPORT 2 SD	00!0!1/292921
🇵🇹 FOX Comedy HD	00!0!1/292922
🇵🇹 FOX LIFE HD	00!0!1/292923
🇵🇹 JIMJAM SD	00!0!1/292928
🇵🇹 AFRO MUSIC SD	00!0!1/292930
🇵🇹 24 KITCHEN HD	00!0!1/292931
🇵🇹 MTV SD	00!0!1/292932
🇵🇹 FOOD NETWORK HD	00!0!1/292933
🇵🇹 NATIONAL GEOGRAPHIC HD HD	00!0!1/292935
🇵🇹 ODISSEIA HD	00!0!1/292936
🇵🇹 BIGGS SD	00!0!1/292937
🇵🇹 PANDA SD	00!0!1/292938
🇵🇹 PORTO CANAL SD	00!0!1/292939
🇵🇹 RTP ACORES SD	00!0!1/292940
🇵🇹 SIC CARAS SD	00!0!1/292943
🇵🇹 SIC KIDS SD	00!0!1/292944
🇵🇹 SIC RADICAL SD	00!0!1/292946
🇵🇹 SPORT TV+ HD	00!0!1/292947
🇵🇹 SPORT TV 5 HD	00!0!1/292948
🇵🇹 SYFY HD	00!0!1/292949
🇵🇹 TLC HD	00!0!1/292950
🇵🇹 TOROS TV SD	00!0!1/292951
🇵🇹 HISTORIA SD	00!0!1/292952
🇵🇹 ZAP VIVA HD	00!0!1/292953
🇵🇹 TV GLOBO SD	00!0!1/292955
🇵🇹 TVI REALITY SD	00!0!1/292956
🇵🇹 TV RECORD SD	00!0!1/292957
🇵🇹 TVI 24 SD	00!0!1/292958
🇵🇹 TVI FICCAO HD	00!0!1/292959
🇵🇹 VH1 SD	00!0!1/292960
🇵🇹 SIC NOTICIAS FHD	00!0!1/292964
🇵🇹 RTP 1 FHD	00!0!1/292965
🇵🇹 RTP 3 FHD	00!0!1/292966
🇵🇹 RTP 2 FHD	00!0!1/292967
🇵🇹 RTP INTERNATIONAL HD	00!0!1/292968
🇵🇹 SPORT TV 4 FHD	00!0!1/292969
WIN SPORTS + HD OPC 2 Copa America/Eurocopa	00!0!1/292975
ESPN SUR OPC 2 Copa America/Eurocopa	00!0!1/292977
ESPN OPC 2 Copa America/Eurocopa	00!0!1/292978
TUDN OPC 2 Copa America/Eurocopa	00!0!1/292979
DIRECTV SPORTS	00!0!1/292980
Directv Sports 2 OPC 2 Copa America/Eurocopa	00!0!1/292983
TNT NOVELAS	00!0!1/295095
CINE: LATINO 01	00!0!1/296005
CINE: LATINO 02	00!0!1/296006
CINE: LATINO 03	00!0!1/296007
CINE: LATINO 04	00!0!1/296008
CINE: LATINO 05	00!0!1/296009
CINE: LATINO 06	00!0!1/296010
CINE: LATINO 07	00!0!1/296011
CINE: LATINO 08	00!0!1/296012
CINE: LATINO 09	00!0!1/296013
CINE: LATINO 10	00!0!1/296014
CINE: LATINO 11	00!0!1/296015
CINE: LATINO 12	00!0!1/296016
CINE: LATINO 13	00!0!1/296017
CINE: LATINO 14	00!0!1/296018
CINE: LATINO 15	00!0!1/296019
CINE: LATINO 16	00!0!1/296020
CINE: LATINO 17	00!0!1/296021
CINE: LATINO 18	00!0!1/296022
CINE: LATINO 19	00!0!1/296023
CINE: LATINO 20	00!0!1/296024
CINE: LATINO 21	00!0!1/296025
CINE: LATINO 22	00!0!1/296026
CINE: LATINO 23	00!0!1/296027
CINEMA + PPV 01	00!0!1/296028
CINEMA + PPV 07	00!0!1/296034
CINEMA + PPV 13	00!0!1/296040
CINEMA + PPV 14	00!0!1/296041
CINEMA PPV PLUS	00!0!1/296042
CINEMAX ACTIONMAX	00!0!1/296045
CINEMAX EAST	00!0!1/296046
CINEMAX MOREMAX	00!0!1/296047
08 CINE POP Uʜᴅ	00!0!1/296055
IVC	00!0!1/304599
LaLigaTV HD	00!0!1/304921
Movistar LaligaTV	00!0!1/304922
DAZN LALIGA HD	00!0!1/304923
DIRECTV SPORTS FHD	00!0!1/304924
ESPN 5	00!0!1/305192
M. Copa Del Rey HD	00!0!1/305193
M. Copa Del Rey HD 1080	00!0!1/305194
MOVISTAR + HD 1080P	00!0!1/305195
MOVISTAR + SD	00!0!1/305196
MOVISTAR+ 2 HD 1080P	00!0!1/305197
MOVISTAR+ 2 SD	00!0!1/305198
🇯🇲 CVM	00!0!1/305219
🇯🇲 MTM TV	00!0!1/305221
🇯🇲 Pbc	00!0!1/305222
🇯🇲 TVJ	00!0!1/305223
🇯🇲 Jamaica 4K	00!0!1/305224
🇯🇲 Jamaica FHD	00!0!1/305225
ViX Premium Deportes 1	00!0!1/307730
ViX Premium Deportes 10	00!0!1/307731
ViX Premium Deportes 2	00!0!1/307732
ViX Premium Deportes 3	00!0!1/307733
ViX Premium Deportes 4	00!0!1/307734
ViX Premium Deportes 5	00!0!1/307735
ViX Premium Deportes 6	00!0!1/307736
ViX Premium Deportes 7	00!0!1/307737
ViX Premium Deportes 8	00!0!1/307738
Rtve	00!0!1/309838
SPORT TV 3 Portugal	00!0!1/311041
🇨🇦 CTV Comedy East HD	00!0!1/311445
🇨🇦 Adult Swim HD	00!0!1/311446
🇨🇦 ABC SPARK HD	00!0!1/311447
🇨🇦 AMC HD	00!0!1/311448
🇨🇦 CBC HD	00!0!1/311449
🇨🇦 CTV HD	00!0!1/311450
🇨🇦 FX HD	00!0!1/311451
🇨🇦 FXX HD	00!0!1/311452
🇨🇦 Nat Geo Wild HD	00!0!1/311453
🇨🇦 Showcase HD	00!0!1/311455
🇨🇦 TSC HD	00!0!1/311456
🇨🇦 Slice HD	00!0!1/311457
🇨🇦 Food Network HD	00!0!1/311458
🇨🇦 GameTV HD	00!0!1/311459
🇨🇦 CTV Drama HD	00!0!1/311460
🇨🇦 Much Music HD	00!0!1/311461
🇨🇦 Lifetime HD	00!0!1/311463
🇨🇦 HGTV HD	00!0!1/311464
🇨🇦 Family HD	00!0!1/311465
🇨🇦 E! Entertainment HD	00!0!1/311466
🇨🇦 TLC HD	00!0!1/311469
🇨🇦 CP24 HD	00!0!1/311470
🇨🇦 W Network HD	00!0!1/311472
🇨🇦 The Weather Network HD	00!0!1/311473
🇨🇦 ABC HD	00!0!1/311474
🇨🇦 CBC Central HD	00!0!1/311475
🇨🇦 CBC Eastern HD	00!0!1/311476
🇨🇦 CBC West HD	00!0!1/311477
🇨🇦 CTV KITCHENER HD	00!0!1/311478
🇨🇦 CTV TORONTO	00!0!1/311479
🇨🇦 CTV Western HD	00!0!1/311480
🇨🇦 CPAC HD	00!0!1/311481
